글쓴이	날짜	조회수	추천수	댓글수	제목	URL	본문
쓰니	2021.06.10 12:54	0	94	개의 댓글	저 청원글에 동의합니다 동의누르는거...	https://pann.nate.com/talk/360404519?page=1	https://www1.president.go.kr/petitions/Temp/xKVK1K    음주와과속으로 사망한 사건개보다못한 4년형 형선고  억울해서 호소합니다
체리	2021.06.10 10:49	0	195	개의 댓글	학대받던 강아지가 마음을 여는 과정	https://pann.nate.com/talk/360403464?page=1	안녕하세요 유기견 후원 기업 스토리텔링독입니다.  한때는 누군가의 사랑받는 가족이었던 아이들이 이제는 철장 속에서 안락사만을 기다리고 있습니다.  펫샵, 무료 가정분양 등 사람에게 버려지고 세상에 유기견으로 나와있는 아이들만 10만 마리 정도가 됩니다..  다시 또 펫샵에서 분양을 받고 버려지고가 반복이 되어가다 보니 어느새 하루에만 평균적으로 258마리가 된다고 합니다.  사랑을 받아보지 않았던 아이었다면 불행도 몰랐고, 슬프다는 것도 모르고 있었겠지만 대부분의 유기견들은 버려진 아이들입니다.. 얼마나 힘들고 불행하다고 느껴질까요. 하루빨리 이런 악순환이 사라져갔으면 좋겠습니다. 저희는 후원 굿즈의 수익만으로 유기견 홍보 영상 제작과 천안시 유기동물 보호소에 후원 하고 있습니다. 분양받는 아이들이 궁금하시다면 여기 링크를 통해 시청 가능합니다. 시청만으로도 기부가 됩니다. https://www.youtube.com/channel/UC0ClBnZpdntm5DcmSyV8UBA천안시 두정동에서 동물학대로 구조되어 왔습니다.처음 보호소에서 만났을때는 다른 아이들과 다르게 너무 얌전한 아이였습니다.학대를 받는것 보다 보호소에서의 삶이 더 편안했던 걸까요..촬영을 하면서 행복이가 점점 마음을 열어가는 모습이 보이더라구요너무나 안타깝고 가슴이 아픕니다..하루빨리 좋은 가족을 만나서 행복해 지기를 기도하고있습니다."행복이가 좋은 가족을 만날 수 있도록 도와주세요"
정말대박임	2021.06.09 21:03	0	152	개의 댓글	이제 곧 방영된 국내 애니메이션 근황	https://pann.nate.com/talk/360393348?page=1	1편 : https://www.youtube.com/watch?v=oMSNQAYDzPQ&t=27s2편 : https://www.youtube.com/watch?v=mUFhLUTUaFo&t=1s장난감 나오면 부모들 지갑 곡소리 난다 ~
화룡점정	2021.06.08 23:28	0	673	개의 댓글	[긴급] 노부부가 감금되어 ...	https://pann.nate.com/talk/360376512?page=1	본 글이 게시판 성격과 맞지 않는다는 것을 잘 알고 있습니다.  우리 사회가 노인공경의 문화가 있듯이 좋은 일 하는 것이니, 부디 이글에 대한 제재는 하지 말아 주십시요.   간곡히 청합니다.국민청원 :  여러분의 사전동의를 구하고자 합니다.  사전동의가 100 명이 되면 이 글이 공개됩니다.  이 글이 공개되는데 여러분의 도움을 구합니다.아래의 링크를 클릭하시면  요양원에  감금되어 있는 노부부의 사연이 있습니다.  여러분의 사전 동의를 부탁드립니다. 이 사회의 패악으로 부터 정의가 살아 있다는 것을 보여 주십시요 여러분의 작은 힘이 모여, 얼마남지 않은 여생 노부부가 원하는 삶을 살아갈수 있도록  진심으로 부탁드립니다https://www1.president.go.kr/petitions/Temp/ahaCgX■ 주보호자를 이용한 감금 사태와 미국 현지에 계신분들의 도움을 구하고자 합니다확실하지 않으나,  과거 미국 오하이오주나 콜로라도주 덴버에 계셨던것으로 기억되는  김향희(60년생)님을 찾습니다  김향희님의 부모님이 감금되어 있습니다.김광춘(31년생) 문점수(33년생)의 따님이신 김향희님을 찾습니다.연로하신 두분의 집에 막내여동생이 들어와 돈을 훔치다 들키니까노부부를 치매로 요양원에 감금하고, 통장 도장 주민등록증을 강탈해 갔습니다.그리고 감금되어 있는 요양원에서 나가게 해 달라고 하루에도 수십차례 연락해 오던 외부와의 연락 수단인 휴대폰도 막내여동생이 없애 버렸습니다. 통장, 도장, 주민증을 강도로 경찰에 2번이나 신고하여 조사중에 있는 가운데, 경찰은 가해자와 피해자를 분리조치하지 않아,  가해자는 주보호자의 지위를 이용하여 현재 노부부를 다른곳으로 옮겨버렸습니다.   노부부의  행방이 묘연합니다.부디 주변에 대한민국 대구에서 자란 김향희님을 아시는 분이 계시면 긴급히 연락 부탁드립니다.여기는 대한민국이며 저의 연락처는 010 - 5471 - 0500 입니다.만약 부재중시 메시지를 남겨 주십시요.  이글을 보신 분들께 간곡히 부탁드립니다.이 글을 읽으시는 수많은 네이트 회원 여러분!!이 같은 사실을 여러 사이트에 전파 해 주시고, 미국에 거주할 것으로 예상되는 김향희님을 찾는데에 도와 주십시요사이트 운영자님 도와 주십시요 간곡히 부탁드립니다.여러분의 작은 힘이 모여 대한 민국에 아직은 정의가 살아 있다는 것을 보여 주십시요노부부의 마지막 소원은 고향에 가서,  마음 편하게 쉬고 싶다입니다.감사합니다.
쓰니	2021.06.06 23:27	0	16,329	개의 댓글		https://pann.nate.com/talk/360330068?page=1	+네이트를 이 글 쓰려고 가입했던거라서 뒤늦게 댓글 확인했는데 다들 댓글로 주작이라고 해서 속상해서 인증글 써 그냥 단지 선의로 올린 글이었고 홍보도 아니었어 할 수 있는 인증은 다 해보는데 부족하면 내가 고삼이라는 것도 인증할게 세상에 거짓말을 하는 사람들이 많으니까 이 글이 거짓인지 의심해보는 건 소비자라면 당연히 할 수 있는 좋은 행동이겠지만 억측이나 거짓된 확신을 하는건 사실 확인로서의 행동을 뛰어넘는 잘못된 행동이라는 걸 알아줬으면 좋겠어. 오늘 하루도 잘보내!            ㄴ피자 무료로 주신다는 말씀은 내가 리뷰 쓰고 문자 보내신거였는데 이 글 쓸 때 리뷰를 올릴 필요는 없다고 생각해서 따로 안올렸는데 올릴게.            이 글이 첫 글이라 어케 써야하는지 몰라서 반말체로 쓸게,!! 6월 3일에 고3 모의고사 였거든 그래서 전날에 배 채우기 위해 피자 시켜먹으려구 단골피자집에서 시키는데 마침 그 가게 사장님께서 생신이라 배달비 무료 행사를 하고 있더라구! 그래서 사장님께 메세지 보내는 칸에  이렇게 적었었는데 배달을 받고 보니 시킨 양보다 훨씬 많이 보내주셨더라,,       생각없이 썼던 한 줄인데 사장님께서 그득그득 챙겨주셨더라구ㅠㅠㅠ피자 한 판 밖에 안시켰는데 리뷰이벤트랑 다른 피자도 넣어주시구ㅠㅠ그리고 저 쪽지 읽고 펑펑 울었어 정시 준비하느라 걱정두 많고 힘들었거든,,ㅠㅠㅠㅠㅠ 그래서 진짜 눈물의 피자 먹구 시험봤었는데    오늘 사장님께서 연락해주셨더라구,,공짜로 먹기엔 너무 죄송해서 마음만 받았는데 정말 말씀만으로도 큰 힘이 되더라  홍보라고 오해받을까봐 상표 다 가렸어 절대 홍보 아니구 인터넷에서만 봤던 훈훈한 일이 나한테도 일어났다는게 믿기지가 않아서, 그리고 이 글 보고 우리 수험생들 입시 스트레스에 코로나도 겹쳐서 지치고 힘들겠지만 우리 응원해주는 사람들이 많다는 것 잊지말고 꾸준히 힘냈으면 좋겠어서 써봤어 문제되면 말해줘!!
Say	2021.06.05 17:43	0	419	개의 댓글	가정폭력 당해서 가출했는데	https://pann.nate.com/talk/360298132?page=1	음주 상태에서 폭력 당했고 나도이제 살아야겠어서 못 참겠어서 가출했어 지금은 친구 집에 있는데 집에 들어가고 싶지도 않고 이제 정말 절연하고 싶어 내가 지금 22살인데 대학 등록금 핸드폰비 노트북 이런 거 다 내가 번 돈으로 사서 모아둔 돈이 얼마 없어서 보증금 낼 돈도 없고 에타에 무보증 원룸 양도한다는 것도 다 연락 없어서 너무 막막한 상황이야 혹시 너무 피치못할 상황에서 집 나왔는데 대처를 어떻게 해야할까 머리가 터질 거 같아
ㅇㅇ	2021.06.04 20:06	0	212	개의 댓글	자신을 기억하지 못하는 알츠하이머 ...	https://pann.nate.com/talk/360281511?page=1	https://www.youtube.com/watch?v=QJDaaX2u0qw
ㅇㅇ	2021.06.02 22:27	0	178	개의 댓글	아이콘 투표 이벤트 모음!!! 이백...	https://pann.nate.com/talk/360227789?page=1	어떤 코닉분이 모아두신거 공유!!  https://twitter.com/dearmyfairy/status/1400045619561988097?s=21  거짓말 사기 아니구 진짜임.!    이런거야!
쓰니	2021.06.02 17:04	0	325	개의 댓글	자기야 나 보면 뭐가 생각나?	https://pann.nate.com/talk/360220948?page=1	(출처 - 카카오페이지 톡드립 낄링타임) 아 심심해서 생각없이 카카오페이지 톡드립 글 보다가 건오징어보고 한참 웃었네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
원미미	2021.06.02 06:23	0	142	개의 댓글	[신천지 자원봉사단] 벽화그리기 봉...	https://pann.nate.com/talk/360217095?page=1	[신천지 자원봉사단] 벽화그리기 봉사 "사랑을 전해요"   ​“사랑을 전해요~~”안녕하세요?아름다운 6월의 아침 인사올리며오늘은 이웃님들께 사랑을 전하는 담벼락 벽화 그리기 이야기로 기쁜^^ 소식을 전해드리려고요.작년부터 시작된 코로나19 바이러스로 인해 전 국민이 고통과 어려움을 겪고 있는 시기에서울야고보지파 신천지 자원봉사단은 낙후된 시설물과 담벼락 재생사업의 일환으로2021년 4.26 ~ 5.3까지 총 8일 동안 '담벼락 벽화 그리기 봉사'를 진행하였습니다.이번에 진행된 벽화봉사는 수유동 주민센터로부터 추천을 받아서 진행한 것으로,혜화여고 맞은 편 빌라의 낡은 담벼락을 새로 재조성하고자80명의 자원봉사자가 벽화 그리기 봉사에 자발적으로 참여했답니다.또한 착착 캠페인 등...협약을 맺고 있는 업체와 정기적으로 방역봉사를 진행하고 있는업체 22곳에서도 함께 후원을 해주셨습니다.  ​드디어 8일 간 80명의 자원봉사자의 땀방울의 수고 결과로 드러난 담벼락 벽화!와 ~~! 이번에도 또 예쁜 담벼락이 탄생되었습니다.정말 멋지지요?걸어가다가 저기 저 의자를 보면 그만 앉아보고 싶겠어요.뜨거운 햇빛 속에서도 꿋꿋하게 자리를 지키며 이웃을 위한 사랑의 봉사정신으로열심을 다 한 결실이 저리 멋지고 대단한 작품으로 탄생했네요.열정이 뜨거운만큼 벽화그리기 장소는 그야말로 생생 리얼 장소였답니다.   ​비록 서울야고보지파 신천지 자원봉사단 성도님들이 디자인, 미술 전공자는 아니지만,아름다운 세상을 만들기 위해 모두가 한마음으로 팔을 걷어부치고 저리 애써주시니이웃 향한 봉사와 노력의 정신에는 그 누구에게도 지지 않는 멋진 분들이시죠?담벼락 벽화 그리기 시작부터 마지막 순간까지 꼼꼼하게 작업을 하신 자원봉사자님들!정말 고맙습니다. 아름다운 세상 만들어주셔서요 !많은 시민들이 지나다니시며 즐겁게 바라보시고 마음으로 힐링하실 것을 생각하니신천지 자원봉사단들의 벽화 그리기 자원봉사단은 뿌듯한 마음으로 늘 작업에 전념한답니다. 이번 봉사는 주민분들의 90% 이상의 동의를 얻어 진행하게 되었고요.이에 수유동장님께서 자원봉사자들이 고생을 하고 있다면서 음료수를 들고여러번 담벼락 벽화 그리기 봉사 장소에 방문을 해주셨답니다.음료수 감사히 잘 마셨습니다. 동장님 ~~!​ ​8일간에 거쳐 벽화를 그리느라 비록 몸은 힘들고 고단했지만모두가 한 마음이 되어 완성된 벽화 작품을 보니마음은 더없이 보람을 느끼게 되었다 해요.이번 담벼락 봉사에 참여했던 한 자원봉사자는"내가 그림을 잘 그리지는 못해도 조그만 일이나마 봉사에 보탬이 될 수 있어서 너무 좋았고,신천지 자원봉사단 로고를 그릴때 기쁜 마음이 들었다"고 소감을 밝혀 주었습니다."네 이웃을 네 몸같이 사랑하라" 하신 하나님과 예수님의 말씀대로실천 신앙하는 신천지 예수교회임을 강조해도 조금도 과하지 않겠죠?우리들 옆에 있는 소중한 이웃에게 예수님의 사랑을 널리 전하는 신천지 자원봉사단은아.름.다.운. 봉사단체랍니다^^앞으로도 또 어떤 담벼락의 모습을 마주하게 될지 기대가 모아지지 않나요?이상 서울야고보지파 신천지 자원봉사 담벼락 봉사 이야기를 끝마치겠습니다. 다음 자원봉사 이야기를 기대해주세요 ~~혹시 여러분 동네 담벼락 이야기가 될지도 ^^ㅎㅎ
쓰니	2021.06.02 02:27	0	168	개의 댓글	좋은 글을 봐서 공유 해드리고 싶어요	https://pann.nate.com/talk/360215375?page=1	안녕하세요 네이트판은 처음이라 이렇게 쓰는 게 맞는지는 잘 모르겠네요 그런데 오늘 너무 따뜻하고 좋은 글을 봐서 이걸 많은 분들과 공유하고픈 마음에 한 번 올려봅니다..! 다들 안녕히주무시고 오늘도 화이팅하시길..
